n,size,time
4,  50,0.000263
4, 100,0.000403
4, 150,0.001268
4, 200,0.002647
4, 250,0.005004
4, 300,0.010005
4, 350,0.014450
4, 400,0.020119
4, 450,0.033143
4, 500,0.045956
4, 550,0.072490
4, 600,0.067295
4, 650,0.085703
4, 700,0.136981
4, 750,0.162505
4, 800,0.205698
4, 850,0.266991
4, 900,0.308781
4, 950,0.348116
4,1000,0.359290
4,1050,0.562619
4,1100,0.582845
4,1150,0.760888
4,1200,0.696813
4,1250,1.437748
4,1300,1.469230
4,1350,1.893573
4,1400,1.420476
4,1450,2.338875
4,1500,2.251556
4,1550,3.626744
4,1600,2.013643
4,1650,3.794023
4,1700,4.020082
4,1750,5.996265
4,1800,3.703747
4,1850,6.439998
4,1900,5.536701
4,1950,8.216262
4,2000,4.713359
4,2050,9.551992
4,2100,7.770216
4,2150,10.973497
4,2200,7.538519
4,2250,13.091064
4,2300,10.297253
4,2350,15.020347
4,2400,8.367873
4,2450,16.017361
4,2500,14.556461
